name,sku,slug,description,price,originPrice,status,categorySlugs
Váy Công sở màu Đen 1,SKU-0001,san-pham-mau-1,Mô tả chi tiết cho sản phẩm số 1,769000,808000,ACTIVE,giay-dep-nam
Túi Dự tiệc màu Đỏ 2,SKU-0002,san-pham-mau-2,Mô tả chi tiết cho sản phẩm số 2,149000,192000,INACTIVE,ao-nam
Quần Dạo phố màu Hồng 3,SKU-0003,san-pham-mau-3,Mô tả chi tiết cho sản phẩm số 3,257000,278000,DRAFT,thoi-trang-nu,ao-nam,thoi-trang-nam
Giày Công sở màu Hồng 4,SKU-0004,san-pham-mau-4,Mô tả chi tiết cho sản phẩm số 4,515000,541000,INACTIVE,thoi-trang-nam,giay-dep-nam
Váy Công sở màu Đỏ 5,SKU-0005,san-pham-mau-5,Mô tả chi tiết cho sản phẩm số 5,106000,151000,INACTIVE,thoi-trang-nam
Giày Dạo phố màu Xanh 6,SKU-0006,san-pham-mau-6,Mô tả chi tiết cho sản phẩm số 6,849000,891000,INACTIVE,thoi-trang-nu,quan-nam,ao-nam
Giày Công sở màu Hồng 7,SKU-0007,san-pham-mau-7,Mô tả chi tiết cho sản phẩm số 7,487000,509000,DRAFT,ao-nam,thoi-trang-nam,quan-nam
Giày Công sở màu Xanh 8,SKU-0008,san-pham-mau-8,Mô tả chi tiết cho sản phẩm số 8,201000,241000,INACTIVE,quan-nam,thoi-trang-nu
Túi Công sở màu Trắng 9,SKU-0009,san-pham-mau-9,Mô tả chi tiết cho sản phẩm số 9,302000,330000,DRAFT,quan-nam,ao-nam
Giày Thể thao màu Trắng 10,SKU-0010,san-pham-mau-10,Mô tả chi tiết cho sản phẩm số 10,182000,215000,DRAFT,quan-nam,giay-dep-nam
Áo Công sở màu Hồng 11,SKU-0011,san-pham-mau-11,Mô tả chi tiết cho sản phẩm số 11,974000,987000,ACTIVE,thoi-trang-nam,ao-nam,quan-nam
Giày Dự tiệc màu Trắng 12,SKU-0012,san-pham-mau-12,Mô tả chi tiết cho sản phẩm số 12,774000,817000,INACTIVE,quan-nam,ao-nam,giay-dep-nam
Túi Công sở màu Trắng 13,SKU-0013,san-pham-mau-13,Mô tả chi tiết cho sản phẩm số 13,555000,587000,ACTIVE,giay-dep-nam
Đầm Dạo phố màu Vàng 14,SKU-0014,san-pham-mau-14,Mô tả chi tiết cho sản phẩm số 14,397000,408000,ACTIVE,thoi-trang-nu
Áo Thể thao màu Vàng 15,SKU-0015,san-pham-mau-15,Mô tả chi tiết cho sản phẩm số 15,268000,304000,ACTIVE,ao-nam
